timestamp,timestamp_ms,event_date,hour_of_day,day_of_week,src_ip,dst_ip,reliability,severity,classtype,attack_status,dns_query,dns_qtype_name
2025-07-07 08:55:59.525,1751878559525,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:59.498,1751878559498,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:59.498,1751878559498,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:59.497,1751878559497,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:56.249,1751878556249,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:55:56.126,1751878556126,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:55:56.126,1751878556126,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:55:55.007,1751878555007,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:55:55.007,1751878555007,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 08:55:55.006,1751878555006,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:55:55.006,1751878555006,2025-07-07,8,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 08:55:49.962,1751878549962,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:45.935,1751878545935,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:42.918,1751878542918,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:42.888,1751878542888,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:42.887,1751878542887,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
2025-07-07 08:55:37.122,1751878537122,2025-07-07,8,Monday,172.16.22.227,202.118.66.6,7,4,threat-intelligence-alarm,attempt,szysdy.xyz,A
